"MSN","StateCode","Year","Data","Description","Renewable"
"ABICB","CA",1989,15.26505,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1990,33.21458,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1991,-10.23315,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1992,19.79704,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1993,18.73954,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1994,769.11757,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1995,642.46184,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1996,848.4109,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1997,1092.17099,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1998,474.99075,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1999,746.80056,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2000,448.77159,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2001,739.36885,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2002,907.32565,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2003,884.51889,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2004,1251.46149,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2005,1016.42681,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2006,76.26973,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2007,207.63605,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2008,11.0474,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",2009,-87.47043,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1960,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1961,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1962,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1963,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1964,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1965,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1966,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1967,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1968,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1969,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1970,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1971,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1972,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1973,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1974,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1975,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1976,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1977,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1978,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1979,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1980,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1981,37.85288,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1982,34.36901,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1983,5.12947,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1984,0.40753,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1985,19.1509,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1986,2.75868,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1987,0.22872,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1988,-5.38945,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1989,0.54756,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1990,1.18638,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1991,-0.52782,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1992,1.00183,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1993,0.94181,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1994,38.24966,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1995,33.18111,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1996,43.35303,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1997,55.13587,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1998,23.57749,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",1999,37.47726,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2000,22.35497,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2001,35.73454,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2002,43.59236,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2003,42.61693,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2004,70.28901,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2005,57.0796,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2006,4.58631,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2007,12.57906,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2008,0.73458,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","NM",2009,-5.91691,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1960,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1961,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1962,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1963,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1964,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1965,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1966,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1967,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1968,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1969,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1970,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1971,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1972,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1973,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1974,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1975,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1976,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1977,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1978,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1979,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1980,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1981,1387.36617,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1982,1328.80023,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1983,195.95735,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1984,23.52151,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1985,1049.69132,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1986,145.1042,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1987,11.80697,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1988,-277.80916,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1989,27.13855,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1990,61.46798,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1991,-21.08454,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1992,39.51095,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1993,37.47171,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1994,1581.76132,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1995,1373.31668,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1996,1805.36016,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1997,2363.41111,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1998,1035.90235,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",1999,1664.54201,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2000,997.42271,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2001,1614.17766,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2002,1973.88824,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2003,1991.58825,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2004,2888.7229,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2005,2150.01741,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2006,163.57711,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2007,466.45938,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2008,25.97665,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","TX",2009,-220.19169,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ARICB","AZ",1960,5726.26021,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1961,6274.82747,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1962,5741.4451,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1963,8193.88866,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1964,7749.17493,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1965,7369.23613,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1966,12551.17339,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1967,13390.92356,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1968,15229.11009,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1969,18102.82252,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1970,24413.71573,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1971,19444.06291,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1972,23661.18928,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1973,22666.35367,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1974,26101.18145,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1975,15467.14354,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1976,13486.38673,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1977,14402.04909,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1978,17829.46339,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1979,19633.41526,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1980,13677.1789,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1981,10862.66058,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1982,10098.8161,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1983,10928.741,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1984,16488.61101,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1985,17009.40237,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1986,16790.93144,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1987,16535.24995,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1988,17806.40229,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1989,15832.11233,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1990,15704.63981,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1991,14472.4881,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1992,19801.47369,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1993,15446.88237,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1994,17082.92414,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1995,20822.50723,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1996,16323.78299,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1997,17944.75579,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1998,26355.45472,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",1999,25311.89647,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2000,22751.66257,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2001,17038.8181,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2002,23430.92844,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2003,23016.83069,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2004,31933.97036,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2005,30780.24887,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2006,27372.74708,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2007,27034.39303,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2008,23059.23241,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","AZ",2009,19894.53622,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1960,70774.23143,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1961,76144.71352,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1962,78080.1994,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1963,80479.18521,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1964,83422.03673,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1965,78915.22805,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1966,80100.43033,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1967,73535.15058,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1968,78732.00371,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1969,86848.51496,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1970,80189.82455,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1971,80854.88162,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1972,81142.71002,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1973,87351.64108,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1974,79024.01439,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1975,87238.73266,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1976,93449.23997,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1977,99518.97052,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1978,101859.8548,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1979,142557.645,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1980,122308.7164,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1981,65241.51341,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1982,65153.73579,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1983,73769.4404,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1984,101279.4951,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1985,91894.48861,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1986,102016.5525,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1987,109215.7437,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1988,101814.9885,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1989,99513.65754,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1990,98621.05793,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1991,94569.61171,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1992,89971.09246,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1993,82504.34456,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1994,81207.5955,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1995,81036.2289,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1996,82279.99878,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1997,76390.54321,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1998,103333.9789,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",1999,135149.8839,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2000,135103.8937,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2001,125554.839,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2002,118493.1644,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2003,90543.81675,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2004,91629.57949,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2005,87109.93925,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2006,80492.43371,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2007,99922.13094,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2008,82940.51795,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","CA",2009,71557.59172,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","NM",1960,6396.79018,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","NM",1961,6716.24172,"Asphalt and road oil consumed by the industrial sector.","FALSE"
"ARICB","NM",1962,6688.73609,"Asphalt and road oil consumed by the industrial sector.","FALSE"
