"MSN","StateCode","Data","Description","Unit"
"DFRCB","CA",2320.12127,"Distillate fuel oil consumed by the residential sector.","Billion Btu"
"DFRCB","NM",8.08731,"Distillate fuel oil consumed by the residential sector.","Billion Btu"
"DFRCB","TX",9.88701,"Distillate fuel oil consumed by the residential sector.","Billion Btu"
"DFRCD","AZ",17.73319,"Distillate fuel oil price in the residential sector.","Dollars per million Btu"
"DFRCD","CA",18.13621,"Distillate fuel oil price in the residential sector.","Dollars per million Btu"
"DFRCD","NM",14.24827,"Distillate fuel oil price in the residential sector.","Dollars per million Btu"
"DFRCD","TX",14.4179,"Distillate fuel oil price in the residential sector.","Dollars per million Btu"
"DFRCP","AZ",3.39576,"Distillate fuel oil consumed by the residential sector.","Thousand barrels"
"DFRCP","CA",398.30408,"Distillate fuel oil consumed by the residential sector.","Thousand barrels"
"DFRCP","NM",1.38838,"Distillate fuel oil consumed by the residential sector.","Thousand barrels"
"DFRCP","TX",1.69734,"Distillate fuel oil consumed by the residential sector.","Thousand barrels"
"DFRCV","AZ",0.35077,"Distillate fuel oil expenditures in the residential sector.","Million dollars"
"DFRCV","CA",42.07821,"Distillate fuel oil expenditures in the residential sector.","Million dollars"
"DFRCV","NM",0.11523,"Distillate fuel oil expenditures in the residential sector.","Million dollars"
"DFRCV","TX",0.14255,"Distillate fuel oil expenditures in the residential sector.","Million dollars"
"DFRFB","AZ",0,"Distillate fuel oil consumed as refinery fuel.","Billion Btu"
"DFRFB","CA",379.71154,"Distillate fuel oil consumed as refinery fuel.","Billion Btu"
"DFRFB","NM",27.63473,"Distillate fuel oil consumed as refinery fuel.","Billion Btu"
"DFRFB","TX",366.14406,"Distillate fuel oil consumed as refinery fuel.","Billion Btu"
"DFTCB","AZ",143372.8515,"Distillate fuel oil total consumption.","Billion Btu"
"DFTCB","CA",526665.0922,"Distillate fuel oil total consumption.","Billion Btu"
"DFTCB","NM",74505.87153,"Distillate fuel oil total consumption.","Billion Btu"
"DFTCB","TX",769735.0936,"Distillate fuel oil total consumption.","Billion Btu"
"DFTCD","AZ",16.14267,"Distillate fuel oil average price, all sectors.","Dollars per million Btu"
"DFTCD","CA",17.08491,"Distillate fuel oil average price, all sectors.","Dollars per million Btu"
"DFTCD","NM",17.65044,"Distillate fuel oil average price, all sectors.","Dollars per million Btu"
"DFTCD","TX",16.54134,"Distillate fuel oil average price, all sectors.","Dollars per million Btu"
"DFTCP","AZ",24613.36507,"Distillate fuel oil total consumption.","Thousand barrels"
"DFTCP","CA",90414.60812,"Distillate fuel oil total consumption.","Thousand barrels"
"DFTCP","NM",12790.70756,"Distillate fuel oil total consumption.","Thousand barrels"
"DFTCP","TX",132143.3637,"Distillate fuel oil total consumption.","Thousand barrels"
"DFTCV","AZ",2314.4206,"Distillate fuel oil total expenditures.","Million dollars"
"DFTCV","CA",8991.53808,"Distillate fuel oil total expenditures.","Million dollars"
"DFTCV","NM",1314.57344,"Distillate fuel oil total expenditures.","Million dollars"
"DFTCV","TX",12726.39071,"Distillate fuel oil total expenditures.","Million dollars"
"DFTXB","AZ",142768.8689,"Distillate fuel oil total end-use consumption.","Billion Btu"
"DFTXB","CA",525990.6038,"Distillate fuel oil total end-use consumption.","Billion Btu"
"DFTXB","NM",74008.88253,"Distillate fuel oil total end-use consumption.","Billion Btu"
"DFTXB","TX",768946.4701,"Distillate fuel oil total end-use consumption.","Billion Btu"
"DFTXD","AZ",16.14864605,"Distillate fuel oil average price, all end-use sectors.","Dollars per million Btu"
"DFTXD","CA",17.08838052,"Distillate fuel oil average price, all end-use sectors.","Dollars per million Btu"
"DFTXD","NM",17.6664955,"Distillate fuel oil average price, all end-use sectors.","Dollars per million Btu"
"DFTXD","TX",16.54509335,"Distillate fuel oil average price, all end-use sectors.","Dollars per million Btu"
"DFTXP","AZ",24509.67707,"Distillate fuel oil total end-use consumption.","Thousand barrels"
"DFTXP","CA",90298.81611,"Distillate fuel oil total end-use consumption.","Thousand barrels"
"DFTXP","NM",12705.38756,"Distillate fuel oil total end-use consumption.","Thousand barrels"
"DFTXP","TX",132007.9777,"Distillate fuel oil total end-use consumption.","Thousand barrels"
"DFTXV","AZ",2305.52394,"Distillate fuel oil total end-use expenditures.","Million dollars"
"DFTXV","CA",8981.83894,"Distillate fuel oil total end-use expenditures.","Million dollars"
"DFTXV","NM",1306.98939,"Distillate fuel oil total end-use expenditures.","Million dollars"
"DFTXV","TX",12716.23324,"Distillate fuel oil total end-use expenditures.","Million dollars"
"DKEIB","AZ",603.9826,"Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.","Billion Btu"
"DKEIB","CA",674.4884,"Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.","Billion Btu"
"DKEIB","NM",496.989,"Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.","Billion Btu"
"DKEIB","TX",788.62345,"Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.","Billion Btu"
"DKEID","AZ",14.72999,"Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.","Dollars per million Btu"
"DKEID","CA",14.38,"Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.","Dollars per million Btu"
"DKEID","NM",15.26,"Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.","Dollars per million Btu"
"DKEID","TX",12.88,"Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.","Dollars per million Btu"
"DKEIP","AZ",103.688,"Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.","Thousand barrels"
"DKEIP","CA",115.792,"Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.","Thousand barrels"
"DKEIP","NM",85.32,"Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.","Thousand barrels"
"DKEIP","TX",135.386,"Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.","Thousand barrels"
"DKEIV","AZ",8.89666,"Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.","Million dollars"
"DKEIV","CA",9.69914,"Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.","Million dollars"
"DKEIV","NM",7.58405,"Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.","Million dollars"
"DKEIV","TX",10.15747,"Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.","Million dollars"
